job_title,company,location,salary,job_description
C# Software Engineer,Pimlico Banks Recruitment,"M1, Manchester","Up to £50,000 per annum + amazing benefits + 25 days holiday","Are you a talented and skilled Software Engineer with strong C# .NET skills who enjoys working with a range of tech? You could be progressing your career at leading edge technology company and working on complex, technically challenging systems across the full tech stack, within a supportive environment that promotes continual learning. Your role: As a Software Engineer you'll join a multi-disciplinary business, aligned Agile Team with a strong focus on complex C# .NET Core based systems but with exposure across the full tech stack through to JavaScript/React on the Front End. You'll be part of a talented Agile development team working in sprints within a collaborative and technology driven environment with exposure to a wide range of technology including C# .NET Core, and React through to AWS, Kubernetes, Elastic Search and CI/CD."
Embedded Software Engineer,KO2 Embedded Recruitment Solutions LTD,"Barnsley, South Yorkshire, S75 3JT",£35000 - £45000 per annum,"Position: Embedded Engineer Package: Salary up to £45,000 + 10% pension, bonus scheme and Life insurance Office Location: Barnsley Location of Work: Flexible Remote Working Available * Embedded C * RTOS or BareMetal development * SPI, UART, I2C, Ethernet etc A position is now available for an Embedded Engineer to join their engineering team to work towards the development of a new range of industry leading controller solutions. Our client is an established R&D focused business, with a stellar reputation built upon providing cutting edge, industry leading products for the last 30+ years. The successful Embedded Engineer will be expected to work closely within project teams and take responsibility for all matter embedded software related on multiple projects, this will include brand new development and updating existing products."
Full stack Software Engineer,ecruit,"Hawksclough, HX7 8EZ",£50k per year,"The Role We are looking for a full stack software engineer to develop and deliver professional audio products utilising embedded, web UI technology and device networking experience. Working in a cross-functional team, you will be involved in all parts of the software lifecycle; from specification and design through to maintenance. The successful candidate will be keen to learn, industrious, possess an exemplary attitude, take ownership, drive progress and strive to create good quality software solutions. * Software specification - work with Product managers and other engineers to create specifications for new software products. * Planning and reporting - provide estimates for development tasks and contribute towards planning of developments. * Software design and development - work closely with other developers in a cross-functional team."
Embedded Software Engineer,Innovative Technology,"Oldham, Greater Manchester, OL1 4EQ",Unspecified,"Here at Innovative Technology, we have a fantastic opportunity for an Embedded Software Engineer to join us based in Oldham. Our Opportunity The Continuous Improvement (CI) Team is a multi-discipline team of firmware, electronic and mechanical engineers dealing with all production released products. The Team proactively and reactively make improvements to those products based on customer needs, internally reported requirements and items identified from within the Team. We are looking for an Embedded Software Engineer to develop new features and improvements to ITL’s existing products. - Identify, implement and test embedded software updates on ITL’s existing product range to address issues and/or add functionality - Identify hardware limitations and propose solutions - Own several issues at any one time, manage them and communicate with internal departments as needed"
Software Developer - React TypeScript,Oscar Associates (UK) Limited,"Manchester, Greater Manchester","£40000 - £50000 per annum + Remote work, Flexible working","Software Engineer - React | TypeScript | MongoDB | AWS * Tech for Good - use your skills to contribute towards something meaningful * Remote-first opportunity * £50,000 + bonus, training & development, flexible working, medical cover This tech scale up company have opened their doors to a React Developer who will join them as they take their flagship product to the next level. The Role This position will suit someone who is passionate about coding standards and has a track record of building sleek web applications that are user-friendly and perform well at scale. You will work alongside a collaborative team of 6 in-house Developers who live and breath TypeScript, ReactJS and UI. You will get involved in the build of new and innovative Greenfield projects and the enhancement / modernisation of the existing apps."
Software Developer,Zachary Daniels,"WA1, Warrington",£45000 - £50000 per annum + Benefits,"Zachary Daniels Recruitment is delighted to be exclusively retained to recruit 2 Software Developers for our long standing client. Our client is a privately owned, £200m turnover business boasting the accolade of being the largest distributor of PC components, gaming peripherals, PC gaming hardware and IT products in the UK As Software Developer you will work in a small but dynamic fast paced development team. As Software Developer you will excel at developing, supporting and problem-solving custom in-house software solutions. The successful Software Developer will have a minimum of 2/3 years software experience and will be self-motivated and capable of working on complex projects using your drive and initiative, delivering quality software solutions to a demanding user base. * C#, .Net development * SQL Server (T-SQL, Stored Procedures, Views etc) * SSRS/SSIS"
Software Developer,Searchability (UK) Ltd,"Bakewell, Derbyshire",£35000 - £45000 per annum,"Senior Software Developer * Salary up to £45k * FULLY REMOTE WORKING ARRANGEMENTS * Net, MVC, SQL, Exago, HTML, CSS, JavaScript Since we opened our doors over 25 years ago we have continuously worked hard to create a flagship product that provides stakeholder management solutions across the UK. Due to our ongoing success we are looking for a Full Stack Developer to come on board and accommodate our growth. * You will be fixing bugs and building new features to help with the maintenance of our core SaaS product * You will be getting stuck in on the migration from the existing .Net webforms codebase over to .Net MVC * Throughout your role you will be involved with the coding on both the Front end and Back end of the application * You will be required to set up new systems for the client"
Embedded Software Engineer - Cross-Platform Development,Embedded Technologies,"Wood Top, BB4 6HH",£35k per year + Hybrid working after probation,"Embedded Technologies Limited is seeking an experienced Embedded Software Engineer who is passionate about tackling challenging problems, expanding their skill set, and working on pioneering projects to join our team in Rawtenstall. If you have a strong background in embedded systems, mobile, and other forms of development, we want to hear from you! We specialise in Internet of Things solutions and full stack development for connected products, including custom firmware and software, mobile apps and custom designed hardware. You will be joining a team of talented professionals who are committed to creating innovative products and services. We offer a supportive work environment, opportunities for growth, and a chance to work on cutting-edge projects. You’ll enjoy challenging, stimulating work and are eager to learn and develop your professional skills."
Software Engineer - BMS - North,IN4.0 TALENT LIMITED,"Manchester, Greater Manchester, M50 2ST",40000 - 50000,"This is a remote position. Do you want more remote working or fully remote? Do you have experience working on BMS applications? Want the security of a global company with long-term secure contracts? Our leading client in the Facilities Management space is looking to add to their software engineering team. They deliver large-scale £multimillion projects and have recently won and long-term 8 figure contract. They are an innovator in the market with their cloud software solution and this will give you the chance to improve your skills and progress your career. The roles are fully remote with an occasional visit to a local office but nothing frequent. They have an excellent benefits package including a 5% bonus. Salaries are £40,000 - £50,000 depending on experience. They are a large employer, and you will work remotely as part of a small team."
Software Engineer,Searchability (UK) Ltd,"Manchester, Greater Manchester",£50000 - £80000 per annum,"* Salary ranges from £50,000 to £80,000 * Manchester-based, hybrid working model with WFH flexibility * Working with the latest technologies in an exciting sector * Excellent opportunity to develop and grow with the role itself with industry-leading training budgets available * Opportunity to be sponsored through security clearance We are a well-established technology and engineering company based in Manchester. We are looking for someone to join a highly skilled software delivery team specialising in doing fantastic work within National Security, Intelligence, and the general Public Sector. * As a Software Engineer, you will be working as part of an agile team to develop rapid solutions for our customers in the National Security sector"
Software Development Support Engineer - Remote,Alliance Automotive Uk Limited,"East Bowling, BD4 6SE",Unspecified,"The Internal Software Development department are recruiting aSoftwareDevelopment Support Engineerto join a team of remote developers overseeing technical support and continuous improvement of homegrown Microsoft .NET software. The role is fully remote and provides the candidate an excellent opportunity to work within a fast-paced, agile environment responsible for a range of homegrown solutions within the latest .NET technology stack. This is an excellent opportunity for a candidate wanting to join an internal development team and make a noticeable contribution to the efficiency and growth of the UK business. It is best suited to a lesser experienced .NET developer who wants more varied work and have a chance to grow skills in DevOps and automated pipelines. TheSoftwareDevelopment Support Engineerreports directly theSoftware Development Manager."
"Software Engineer, £80k + 10% Bonus",ECOM Manchester,"Manchester, Greater Manchester",£60k - 80k per year + benefits,"Up to £80,000, plus company benefits including… 10% bonus? Pension Scheme? Manchester office or regular flexible/remote working? 25 Days Paid Leave? Latest tech stack and tools Unique opportunity for a Software Engineer with experience of TypeScript and AWS to join an ecommerce scale-up in Manchester that have the backing of a FTSE 250 company and launched to the public late 2020 with a full UK wide TV advertising campaign. As a Software Engineer you’d be part of a product engineering department that is in the process of growing to almost 300 people and would play a key role in shaping their culture, systems and overall approach to software engineering."
Software Developer (Hybrid Remote + Manchester),Profile 29,"M3, Manchester","From £30,000 to £40,000 per annum + hybrid home working","Job: Software Developer (Hybrid Remote + Manchester) This company was created because its Founders wanted to make a positive impact on the World. It was built to 1) help companies tackle climate change by planting trees and giving them a platform to measure their impact and 2) to help individuals make better choices by providing a rewards and cashback platform for purchases (every time someone shops with one of their 3500+ partner retailers, they will earn cashback. 2/3 of this is used to plant trees and 1/3 goes back in their pocket offsetting the cost, and peoples carbon footprints all at the same time). Due to ongoing growth, they are looking for an environmentally-like-minded Developer to join them on their exciting journey * Participating in code reviews to understand the quality and style standards of their offshore and onshore contract development teams."
Application Engineer,Karpa Talent Solutions Ltd,"HX1, Halifax","From £35,000 to £45,000 per annum + pension + holidays + bonus","Our business partner are currently growing at an exponential rate and are looking at adding to their engineering team. They have a well established reputation in manufacturing specialist equipment for the pharmaceutical industry. Huge investment is ongoing at the facility and it is an exciting time to join them. If successful you will be responsible for the conceptual design and development of equipment and systems and redesign of existing systems to fulfil the requirements of internal and external customers. Key Responsibilities * Ensure that all sales prospects, enquiries and quotations for category 3, 4, 5, and 6 are professionally managed and delivered to the customer in accordance with procedures * Accurate identification, optimisation and collection of all cost estimates"
"Software Engineer C++ Developer PHP, C, Python, Linux",Further Concepts Ltd,"M17, Manchester","£50,000 per annum + benefits (see spec)","Job Title: Software Engineer C++ Developer PHP, C, Python, Linux Location: Old Trafford, Manchester Hybrid role Visit office at least once a week Salary: £50,000 See below for benefits Job Type: Permanent Our client is a technology provider to the market research industry and use cutting edge technology to help their clients gain deeper insight into the digital lives of customers. They are looking for a candidate to join the engineering team to work on projects using PHP, C/C++ and Python for the purpose of online activity monitoring and analysis. These are used to provide their customers with insights into the online behaviour of opted-in market research participants."
Applications Engineer - Pumps,Omega Resource Group,"Bradshaw Trading Estate, M24",£30k - 34k per year + Bonus,"Role: Applications Engineer (Pumps) Location: Manchester Basis: Permanent Industry: Process Engineering/Chemical Engineering Salary: £30,000 - £34,000 + up to 5% bonus This is a fantastic opportunity to join a global provider of highly technical industrial technology destined for the chemical processing, Energy and water treatment industries. They are currently looking to appoint an additional Applications Engineer to support commercial and technical aspects at the bid and proposals stages within the business. You can expect to be working in a busy ‘Manufacture to Order’ environment where you will be able to liaise closely with internal engineers and sales persons as well as clients across Energy and Chemical Processing industries. * Present technical solutions to clients and other industry professionals."
Software Engineer,Oscar Associates (UK) Limited,"Macclesfield, Cheshire",£80000 - £80001 per annum,"🖥️ Software Developer - NodeJS, MongoDB, ReactJS, AWS ✈️ Scale-Up SaaS Aviation 📍 Macclesfield (2 days a week in the office) 💰 £80,000 A very exciting opportunity for a Software Developer to join a growing SaaS start-up who are making waves in the Aviation industry and are now collaborating with some prolific names, taking them from strength to strength. As Software Developer you will be designing, building and improving an end-to-end SaaS Aviation Solution. Working closely with CTO, you will help to define the vision and the future road map, whilst being integral to the product development across the entire stack and being involved in system and architectural design. ● TypeScript and NodeJS/ReactJS ● APIs ● MongoDB/NoSQL databases ● AWS ● Mentoring/ coaching"
Software Application Engineer - Remote or hybrid working options,ProAct Global Solutions,"Manchester, Greater Manchester","upto £45,000, remote & hybrid option-visit office ave. twice per month","Software Application Configuration Engineer Remote and hybrid working options available. Established for over 25 years, ProAct Global Solutions is a software solutions company. With offices in St. Asaph (North Wales), Hamburg (Germany), and Atlanta (USA), our global reach enables us to support some of the biggest names in the industry, including prestigious car manufacturers. At the heart of our unique supply chain technology is our logistics process execution engine, a technology enabling end-user configuration of complex, multi-modal supply chain processes. Being end-user configured, our software delivers unparalleled flexibility, creativity, and scalability. Our team of more than 50 colleagues mean a lot to us, and by joining our team its guaranteed that your efforts will be recognised and well rewarded."
Software Engineer,Erin Associates,"M1, Manchester","£65000 - £70000 per annum, Benefits Excellent benefits","This highly successful and growing organisation are looking to add an experienced Integration/Software Engineer with solid skills in C# and .Net to their team. The successful Software/Integration Engineer will be part of a dynamic IT team with the ability to work on high impact project roles. Responsibilities will include working with the development team to deliver bespoke integration'sbetween the platform and customer systems. * Strong understanding of C# .Net * Ability to work independently and as part of a team * Excellent time management * Strong understanding of the software development life cycle Desirable skills * Knowledge of PHP * AWS Lambda or AWS ECS * RESTful APIs using JSON Interpersonal skills * Well organised, self-motivated, and able to successfully work under tight project deadlines."
Embedded Software Engineer,Chroma Recruitment Ltd,"Moss Nook, M22",Competitive,"Due to an increase of sales, were looking for multiple Embedded Software Engineersto join this business as they venture into new areas and expand their customer portfolio. The role of Embedded Software Engineer will report directly to the Head of Engineering who will be tasked with overseeing the release of software and scaling the size of the team. Youll have a hybrid model of three days in the office vs two at home. This is a great opportunity for someone who wants to push the boundaries of technology, explore new ways of doing things and being creative with software design and development. Youll be working in a fast-paced environment on consumer products sold around the world. As anEmbedded Software Engineer, youll be given key responsibilities in the design, programming, and delivery of full lifecycle projects."
Python Software Engineer - £45K-£75K DOE,Oscar Associates (UK) Limited,"Manchester, Greater Manchester",£45000 - £75000 per annum,"Python Software Engineer - Manchester / hybrid remote - Salary £45K - £75K DOE plus 25 days holiday+bh, hybrid working (1 day per month in office), private healthcare insurance, pension scheme, income protection, latest technologies, excellent career progression& more! The Role A unique and exciting new opportunity has arisen for an experienced Software Engineer (Python, AWS, APIs) to join a growing cross-functional scrum-team. The expectation for this role is to commute into the company's Manchester Headquarters once a month for collaborative days, other than this there is no expectation to commute into the office. The role is completely flexible when it comes to remote working. The company support the needs of all employees, and realise how valuable time is. They respect all employees to work from the comfort of their homes!"
Senior Software Engineer (AWS DevOps),BBC,"Salford, Greater Manchester",Competitive Salary + Benefits,"Job Introduction The BBC is one of the UK's most well-known and loved brands and is a unique and rewarding organisation to work for. We deliver content to millions of people globally every day. That is no easy task, and wouldn't be possible without a fantastic team in Software Engineering who have helped us pioneer new products and innovative features which make us industry leaders. We push technical boundaries and embrace the need for adaptability in a constantly changing world. We consider software engineering a craft. We take a human-centred approach to software engineering, collaborating with the people writing the code as well as those using it. We place emphasis on continual learning and mentoring, furthering our teams' expertise."
"C/C++ , PHP Software Engineer - Manchester",Circle Group,"Manchester, Greater Manchester",£40000 - £50000 per annum + wfh+benefits,"Key skills - C/C++, PHP, Python, Linux, Software Engineer A brand-new role has become available for a Software Engineer with skills in C/C++ with PHP and Linux. My client is a Manchester based software house who are developing cutting edge applications and services to a global client base. They have big expansion plans signed off for 2023 and this is a fantastic time to join them. We are looking for a Software Engineer with C/C++ and PHP or Python to join the Software server team. They are using GIT and CI/CD, unit testing an open-source coding standards. The role offers plenty of opportunity to work across the other tech dev teams within the business if you want to expand your knowledge. * C/C++ * PHP * Linux * HTTP, TCP * Python"
PLC Software Engineer,Samuel Frank Associates,"Woodnook, BB5","From £45,000 to £48,000 per annum + overtime when on site","Headlines Very well established and well regarded company, wide variety in terms of the projects,long term stability, the business supports and encourages training and personal development and will offer support to PLC Software Engineers helping them gain Chartered status. Key aspects the PLC Software Engineer position include; * The client is open to specific vendor experience of PLCs so knowledge of Rockwell or Siemens systems would be useful as would the related/associated HMI systems. * Commercial knowledge/experience could have come from working in the water treatment sector, chemical or other process based industries but the client is open to any sector experience. * Networking of common automation hardware including EtherNET/IP, ProfiNET, Profibus, Modbus"
Software Engineer,Bennett and Game Recruitment LTD,"WA7, Runcorn",£50000 - £55000 per annum + 28 days including bank holidays,"Due to continual growth and development, there is an opportunity present to join the software engineering division, as a Software Engineer. * Working as part of a multidiscipline team using skills to specify design, implement, commission and test specialist robotic applications, controlled using C# for the Drug Delivery, Industrial Automation and Laboratory Automation industries. * Programming Robotic arms using their native software which is typically a procedural language. * Regular communication with others involved in the development process using our Project tools. * Development of functional, software and test specifications. * Implement, test and bug-fix functionality. * Provide support to end users through our internal REACTS support team. * Science, Technology, Engineering or Mathematics Degree."
"Software Software Engineer (Python, AWS) Remote first",Oscar Associates (UK) Limited,"Manchester, Greater Manchester","£50000 - £75000 per annum + Remote work, Flexible working","Senior Software Engineer (Python, AWS, APIs) £75,000 (DOE) * Remote-first opportunity * Scale-up company, Tech For Good * Deliver the next phase of their flagship product This is an opportunity for a Software Engineer to join a high-growth scale up company, creating clean and effective software for their data-led platform. You will join a cross-functional Scrum team including several other Developers, Product Owners and a Scrum Master. Together, you will help to deliver the next phase of their flagship product. Your Scrum team will sit within a wider Engineering function that is set to double in size in the next 12 months, offering plenty of progression opportunities. Day-to-day you will enhance the data-led tech platform and develop brand-new products and services within the company's product offering."
PLC Software Engineer - Contract,Samuel Frank Associates,"Woodnook, BB5",From £39 to £41 per hour,"+++PLC Software Engineer+++PLC Software Engineer+++PLC Software Engineer+++ PLC Software Engineer Siemens TIA Portal 3 month contract IR35 Exempt Office Based East Lancashire - £40hr Samuel Frank is recruiting for a Siemens TIA Portal PLC Software Engineer to join a systems integrator based in East Lancashire. Key aspects the PLC Software Engineer position includes; * Cradle to grave delivery of PLC based control and automation systems * Recent/demonstrable knowledge of Siemens TIA Portal able to write well-structured PLC code from scratch * Networking of common automation hardware including EtherNET/IP, ProfiNET, Profibus, Modbus * The role as youd expect will include full project life cycle duties including site-based commissioning which is realistically going to take up circa 20% of your time. Its unlikely youd be on site for more than 2 weeks at a time."
Applications Engineer,Rise Technical Recruitment Limited,"Huddersfield, West Yorkshire",£35000.00 - £45000.00 per annum + Training + Progression + Benefits,"£35,000 - £45,000 + Manufacturer Training + Clear Progression + Days-based + Benefits Huddersfield (Commutable from: Mirfield, Dewsbury, Brighouse, Batley, Bradford, Halifax, Wakefield, Sowerby Bridge) Are you an Applications or Development Engineer with experience in Industrial environments looking for further career progression where you can work for a specialist manufacturer with the view to become a product expert combined with great company benefits? This is an excellent opportunity to work as part of a nationally-renowned manufacturer within a close-knit technical team working on Electro-Mechanical products including large HVAC systems. With over 40 years expertise supplying to large-scale projects, this company are the industry-leader in manufacturing systems for the healthcare and chemical sectors."
Software Engineer C / C++,Adria Solutions,"M1, Manchester",Circa £50K,"Software Engineer Manchester Our client based in Manchester is currently looking for a skilled Software Engineer. You will be joining a growing engineering team working on projects using PHP, C/C++, and Python. * Understanding requirements and acceptance criteria * Interpreting software development specifications and design documents * Writing application code and tests that conform to standards * Feeding into the design process on recommended architecture * Working alongside engineering, testing, user experience, and other roles * C/C++ and PHP * Linux * Strong networking knowledge including low-level protocol knowledge such as HTTP & TCP * The ability to solve problems and find out or source information * Good communication skills * Hybrid working * Performance-based bonus * Funded training programs If this sounds like your perfect role, click Apply without delay!"
Software Engineer (£80k + 15% bonus),ECOM Manchester,"Manchester, Greater Manchester",£60k - 80k per year + 15% bonus,"This is a unique opportunity for a Software Engineer to join one of Manchester's best-known ecommerce scale-ups. The company have the backing of a FTSE 250 business and launched to the public late 2020 with a full UK wide TV advertising campaign. As a Software Engineer, you'd join a product engineering department of around 300 people and would be responsible for guiding the evolution of serverless event driven systems in an AWS environment. The existing group are very open minded, they work as multidisciplinary product engineering squads (Dev, Product, UX) who value diversity and teamwork over individual heroics, so you'd be working alongside people that are passionate about using quality practices like TDD and Pair Programming in an autonomous DevOps culture. * AWS (EC2, Lambdas etc.) * TypeScript, Node, React * Docker, Kubernetes, Terraform"
Software Engineer Developer,Evolution Recruitment Solutions Ltd,"Edgeley, SK3",Up to 50k + 28 days holiday plus bank hols + Healthcare Cash plan + Sh,"C# Software Engineer / Developer / Programmer Up to 50k + 28 days holiday + 7% Employer pension contributions + Excellent Learning and Development Are you a Back End Software Developer that knows how to code in a C style syntax? Do you want to make a difference to the country's infrastructure? Are you pragmatic in your approach to problem solving? A Local and Global player in the MaaS offering, we're committed to making the world a better place one journey at a time! revolutionising the country's Railway infrastructure leveraging cloud technologies and utilising IoT. We are serious investors in the Development of our staff."
Software Engineer Java,CGI,"M1, Manchester",Competitive,"Software Engineers (Java) If your coding skills are backed up with a talent for solving problems, we will give you the opportunity to have real-world impact and purpose. Working in our Central Government business unit, our Software Engineers and Developers are trusted to work closely with a wide range of clients on exciting projects with real-world critical purpose and positive impact on UK Citizens' lives. From helping the Police keep our communities safe to the delivery of location services during the Covid-19 crisis, the protection of Britain's maritime territories to processing the Crown Prosecution Service's caseload, our work is wide ranging with high stakes and high impact. Youll be part of an open, friendly community of experts and well train and support you in taking your career wherever you want it to go."
Senior PLC Software Engineer,Samuel Frank Associates,"Woodnook, BB5","From £52,000 to £58,000 per annum + overtime when on site","Headlines - Opportunity to step up into a Senior PLC Software Engineer role, very well established and well regarded company, wide variety in terms of the projects, long term stability, the business supports and encourages training and personal development and will offer support to Senior PLC Software Engineers helping them gain Chartered status. Key aspects the Senior PLC Software Engineer position include - * Been the Lead PLC Software Engineer on at least one large PLC based project or have a demonstrable track record as a seasoned Lead Engineer * Have a strong background in writing PLC software using either Siemens or Rockwell systems so you can successfully schedule works across a small team of PLC Software Engineers. * Drive/promote high quality coding standards across the team."
C# Software Developer X 4,Adria Solutions,"SK8, Cheadle","Up to £65,000","C# Software Developer-Up to £65K On behalf of our well-established client near Manchester, we are looking for a talented Software Developer. As a Software Developer, you will be responsible for creating software solutions against requirements from internal and external customers for our client. You will be experienced in Net- C#, Web API and JavaScript libraries. * Creating high standard technical solutions, by applying coding standards and following the best practices * Improving the reliability of our client's platform by ensuring solutions are fully tested before handover to QA * Liaise with solution architects to create new solutions and improve existing ones * Write clear release notes to support new features and changes to existing functionality Benefits * 28 days including bank holidays * Company Bonus (non-contractual)"
Software Developer (C#),Adria Solutions,"M2, Manchester","Up to £65,000","On behalf of our growing client based in the North West of England are recruiting three enthusiasticC#Software Developers. You will be Designing, building, and configuring applications to meet business process and application requirements. * Design, development, coding, testing, and debugging of applications * Conducting performance tests. * Consulting with the Product and wider Scrum team. * Create and maintain technical documentation in support of wider distribution through the team. * Meeting with the Scrum and Product team to prioritize, estimate and plan work * Designing and developing user interfaces using best practices. * Adapting interface for modern applications using the latest front-end technologies. * Making complex technical and design decisions. * Experience with C#, .Net Framework & Core * Knowledge of JavaScript MV-VM/MVC frameworks"
Software Developer In Test,Adria Solutions,"M1, Manchester",Up to £65000,"On behalf of our growing client based in Manchester, we are recruiting a talented Software Developer in Test. As SoftwareDeveloper in Test, you will be helping to lead the drive for test automation within the company * Maintain and extend the current automation test framework. * Investigate and assess other tools that we could use for test automation. * Drive quality within the engineering community. * Bringing fresh ideas and perspective into the team and the wider community with techniques to improve the test processes within engineering. * Run and interpret automation test reports, determining what caused any failures, raising defects and communicating with teams as required. * Proven Functional Automation background using a wide array of tools and technologies. * An analytical thought process with a keen eye for detail."
